news_id,title,publish_date,source_name,source_section,source_url,source_credibility,region,country,sector,digest_section,topic_tags,summary,business_implication,recommended_audience,importance_score,relevance_score,actionability_score,credibility_score,total_score,human_status,reviewer,review_notes
20260608-001,SpaceX招股 內地香港投資者禁認購,2026-06-06,信報,要聞,https://www.hkej.com/dailynews/headline/article/4425019,A,全港,香港,金融與經濟,金融與經濟,"SpaceX;IPO;ITAR;跨境投資;禁認購","彭博引述承銷商不得接受中港投資者認購SpaceX IPO，涉美國技術出口限制。","影響跨境認購及資金配置；與SpaceX吸金敘事相關。","領導;部門",4,4,4,5,92,待審核,,
20260608-002,全球航司下調2026盈利預期,2026-06-07,文匯報,財經,https://www.wenweipo.com/a/202606/08/AP6a263b30e4b0b49ad1be7777.html,A,全球,香港,金融與經濟,金融與經濟,"IATA;航空;燃油;230億美元;6/7","IATA 6/7將2026航空業淨利潤預測下調至230億美元；燃油支出或升至3500億。","旅遊及商務成本；中東衝突外溢指標。","領導",4,3,3,5,86,待審核,,刊於文匯6/8轉載6/7 IATA年會
20260608-003,中東局勢升溫 亞太股普遍下跌,2026-06-08,文匯報,財經,https://www.wenweipo.com/a/202606/08/AP6a262bd3e4b0b49ad1be74ea.html,A,全港,香港,金融與經濟,金融與經濟,"中東;恒指;24458;亞太股市","伊以衝突升溫，亞太股普遍跌；恒指一度跌逾2%。","地緣政治影響市場情緒。","領導",4,3,3,5,86,待審核,,
20260608-004,金管：銀行落實內地客開戶新規,2026-06-08,信報,要聞,https://www.hkej.com/dailynews/headline/article/4425640,A,全港,香港,金融與經濟,金融與經濟,"金管局;內地客;開戶;跨境理財通","金管局指銀行已落實通告，內地客開戶流程暢順。","跨境金融合規節點。","領導;部門",4,4,4,5,92,待審核,,
20260608-005,亞股憂「黑色星期一」 專家料港股跟跌,2026-06-08,HKET 報章,要聞,https://invest.hket.com/article/4142776,A,全港,香港,金融與經濟,金融與經濟,"港股;亞股;SpaceX;黑色星期一","美滙破100、美債升溫及SpaceX吸金下，亞股料跟跌；台指夜盤瀉6.68%。","大市前瞻及資金流向。","領導;部門",4,4,3,5,90,待審核,,
20260608-006,九龍塘滶蘊首批44伙 折實986萬入場,2026-06-06,HKET 報章,要聞,https://paper.hket.com/article/4142490,A,九龍塘,香港,建築與地產,建築與地產,"滶蘊;新世界;30800;23億","滶蘊首批44伙，最低折實985.9萬、呎價30800元起；累售41伙套現逾23億。","豪宅新盤定價標杆；5年來高呎價新盤。","領導;項目",4,5,4,5,94,待審核,,
20260608-007,一手兩日共65成交 海瑅灣I銷15伙最旺,2026-06-06,信報,地產,https://www.hkej.com/dailynews/property/article/4425680,A,全港,香港,建築與地產,建築與地產,"一手;周末;海瑅灣I;65宗","6/6-7周末一手約65宗，按周跌30.1%；海瑅灣I沽15伙。","周末一手交投結構。","領導;項目",4,4,4,5,90,待審核,,刊期6/8報道周末成交
20260608-008,首岸第4期首批60戶 呎價21301,2026-06-08,信報,地產,https://www.hkej.com/dailynews/property/article/4425678,A,紅磡,香港,建築與地產,建築與地產,"首岸;恒地;21301;688萬","首岸第4期首批60伙，折實均價21301元，入場688萬。","市區新盤定價參考。","領導;項目",4,5,4,5,94,待審核,,
20260608-009,工商舖上月買賣 增至402宗3年高,2026-06-08,信報,地產,https://www.hkej.com/dailynews/property/article/4425682,A,全港,香港,建築與地產,建築與地產,"工商舖;402宗;寫字樓","5月工商舖約402宗，逾3年最多，按月升12.9%。","工商物業投資氣氛。","領導;項目;拓展",4,5,4,5,94,待審核,,
20260608-010,荃灣單幢樓呎租超太古城,2026-06-08,信報,地產,https://www.hkej.com/dailynews/property/article/4425677,A,荃灣,香港,建築與地產,建築與地產,"租務;呎租;缺盤;昌泰大樓","昌泰大樓呎租43.8元超太古城；缺盤推升非核心租金。","租賃市場結構變化。","領導;項目;拓展",4,5,4,5,94,待審核,,
20260608-011,潤澤覓200億貸款 籌建沙嶺數據園,2026-06-06,信報,要聞,https://www.hkej.com/dailynews/headline/article/4425399,A,沙嶺/北都,香港,北都產業規劃,北都專題,"北都;沙嶺;潤澤;200億;算力","潤澤尋求約200億元貸款支持沙嶺數據園；首3年投資238億。","北都算力基建里程碑。","領導;項目",5,5,4,5,98,待審核,,
20260608-012,倡填平淺水海域 成本低造地為未來,2026-06-08,HKET 報章,要聞,https://invest.hket.com/article/4142765,A,全港,香港,北都產業規劃,北都專題,"填海;胡應湘;北都;造地","胡應湘倡填平淺水海域造地；北都發展估需20-30年。","土地供應及北都節奏觀點。","領導;項目",4,5,3,5,90,待審核,,
