news_id,title,publish_date,source_name,source_section,source_url,source_credibility,region,country,sector,digest_section,topic_tags,summary,business_implication,recommended_audience,importance_score,relevance_score,actionability_score,credibility_score,total_score,human_status,reviewer,review_notes
20260609-001,恒指再挫304點 連跌4日見兩個半月低,2026-06-09,信報,要聞,https://www.hkej.com/dailynews/headline/article/4426383,A,全港,香港,金融與經濟,金融與經濟,"恒指;24657;304點;半導體;加息預期","美國加息預期升溫下恒指收挫304點報24657點，連跌4日；大行指健康回調並看好半導體。","影響市場情緒及投資配置；北水淨吸113億。","領導",5,5,4,5,96,待審核,,
20260609-002,遏跨境炒股 賬戶資產不強制清理,2026-06-09,信報,要聞,https://www.hkej.com/dailynews/headline/article/4426380,A,全港,香港,金融與經濟,金融與經濟,"中證監;跨境券商;富途;老虎;長橋","中證監澄清不強制註銷戶口及清理資產；三家券商周五起暫停內地買入。","跨境理財及在港券商合規節點。","領導;部門",5,5,5,5,98,待審核,,
20260609-003,滬指跌1.7%失4000關 創2個月低,2026-06-09,香港經濟日報,要聞,https://paper.hket.com/article/4143404,A,內地,中國,金融與經濟,金融與經濟,"滬指;3959;4000關;A股","滬指失守4000點收報3959點跌1.7%；半導體及有色重挫。","內地股市波動影響港股及在港業務。","領導",4,4,3,5,90,待審核,,
20260609-004,美加息預期升溫 在岸人幣考驗6.8關,2026-06-09,香港經濟日報,要聞,https://paper.hket.com/article/4143406,A,全港,香港,金融與經濟,金融與經濟,"人民幣;6.7844;美元;非農","在岸人民幣跌穿6.78關；美元偏強考驗6.8阻力。","匯率及資金成本影響。","領導",4,4,4,5,90,待審核,,
20260609-005,韓股瀉逾8% 黃仁勳：AI股挫是撈底良機,2026-06-09,香港經濟日報,要聞,https://invest.hket.com/article/4143443,A,亞太,韓國,金融與經濟,金融與經濟,"韓股;黃仁勳;AI;半導體","韓股跌8.3%觸發熔斷；黃仁勳指AI股調整屬買入良機。","全球科技股波動外溢至港股科指。","領導",4,3,3,5,86,待審核,,
20260609-006,美聯：今年樓價看升15% 料2.3萬宗一手,2026-06-09,信報,地產,https://www.hkej.com/dailynews/property/article/4426420,A,全港,香港,建築與地產,建築與地產,"美聯;黃建業;樓價15%;2.3萬宗","黃建業上調一手至2.3萬宗、二手至5.7萬宗；料樓價升15%。","樓市景氣及成交量前瞻。","領導;項目",4,5,4,5,92,待審核,,
20260609-007,華懋逾19億購北角台住宅地,2026-06-09,信報,地產,https://www.hkej.com/dailynews/property/article/4426419,A,港島,香港,建築與地產,建築與地產,"華懋;北角台;19億;10504元","華懋逾19億元收購北角台住宅地，樓面地價約10504元。","市區土儲及重建標杆。","領導;項目",4,4,4,5,88,待審核,,
20260609-008,首岸第4期提價加推30伙,2026-06-09,信報,地產,https://www.hkej.com/dailynews/property/article/4426421,A,紅磡,香港,建築與地產,建築與地產,"首岸;恒地;21439元;滶蘊","首岸第4期加推30伙，折實呎價21439元；滶蘊周五價單發售28伙。","新盤定價及推售節奏。","領導;項目",3,4,4,5,84,待審核,,
20260609-009,晶苑斥4.4億購兩項目 改裝學生宿舍,2026-06-09,香港經濟日報,地產,https://paper.hket.com/article/4143427,A,九龍,香港,建築與地產,建築與地產,"晶苑;學生宿舍;4.4億;晉匯","晶苑4.4億元購九龍城及紅磡物業改裝學生宿舍。","學生宿舍投資及改建趨勢。","領導;項目;拓展",4,5,4,5,90,待審核,,
20260609-010,「收租王」楊達潮年內沽4豪宅 套9150萬,2026-06-09,香港經濟日報,地產,https://paper.hket.com/article/4143428,A,全港,香港,建築與地產,建築與地產,"楊達潮;豪宅;9150萬;豪園","收租王楊達潮年內沽4豪宅套現9150萬元。","豪宅二手交投及業主減持信號。","領導",3,3,3,5,80,待審核,,
20260609-011,粵車南下擴至大灣區9市 名額倍增,2026-06-09,信報,港聞,https://www.hkej.com/dailynews/hknews/article/4426434,A,大灣區,香港,北都專題,北都專題,"粵車南下;9市;200名額;易泊遊","7月25日起擴至大灣區9市，每日名額倍增至200；新增易泊遊。","大灣區交通融合及本港消費帶動。","領導;部門",5,5,4,5,96,待審核,,
20260609-012,港深創科園聯通中亞 推動科企雙向落地,2026-06-09,香港經濟日報,要聞,https://paper.hket.com/article/4142853,A,北都,香港,北都專題,北都專題,"港深創科園;中亞;Astana Hub;河套","查逸超隨特首出訪，園區與Astana Hub簽合作備忘錄。","北都創科國際拓展及雙向落地。","領導;部門",4,5,4,5,90,待審核,,
