news_id,title,publish_date,source_name,source_section,source_url,source_credibility,region,country,sector,digest_section,topic_tags,summary,business_implication,recommended_audience,importance_score,relevance_score,actionability_score,credibility_score,total_score,human_status,reviewer,review_notes
20260605-001,SpaceX或引發環球抽資潮 韓圜17年低,2026-06-05,HKET 電子報,A0,https://paper.hket.com/web-flip/HKET/20260605/HKET_20260605_A0/index.html#p=2,A,全港,香港,金融與經濟,金融與經濟,"SpaceX;韓圜;17年低;AI回吐;抽資潮","報道指SpaceX招股引發全球資金再配置，韓圜跌至17年低位，港股AI概念股回吐。","影響流動性與風險偏好，間接波及地產及投資氣氛。","領導",5,4,4,5,94,定稿,,"截圖A2"
20260605-002,恒指跌近290點失守兩萬五 成交逾2800億,2026-06-05,信報 網上版,A0,https://stock360.hkej.com/quotePlus,A,全港,香港,金融與經濟,金融與經濟,"恒指;24965;科指;2816億;對外投資新規","6月5日恒指收24964.58點跌288.82點，科指跌2%，成交約2816億。","本地市場情緒及資金成本背景。","領導",5,4,4,5,92,定稿,,"港股360即時數據"
20260605-003,SpaceX世紀招股 最多籌6727億,2026-06-05,信報 網上版,A0,https://www.hkej.com/dailynews/headline,A,全港,香港,金融與經濟,金融與經濟,"SpaceX;IPO;6727億;散戶;五券商","彭博指SpaceX IPO最多籌6727億港元，指定五券商向散戶發售。","全球一級市場及科技股估值外部衝擊。","領導",5,4,3,5,90,定稿,,"要聞列表6月5日"
20260605-004,金管局成立代幣化債券專家小組,2026-06-05,文匯報 網上版,A0,https://www.wenweipo.com/business,A,全港,香港,金融與經濟,金融與經濟,"金管局;代幣化債券;專家小組;RWA","金管局成立代幣化債券專家小組，推動應用及擴展潛力。","數碼金融政策及債券創新方向。","領導",4,4,4,5,88,定稿,,"經濟要聞列表"
20260605-005,風扇大王翁氏家族1.6億掃峻譽·渣甸山2伙,2026-06-05,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260605/HKET_20260605_D0/index.html#p=1,A,渣甸山,香港,建築與地產,建築與地產,"峻譽;翁氏;1.6億;豪宅;呎價4.7萬","翁氏家族購峻譽兩伙三房共約1.6億，呎價約4.7萬至4.8萬。","超級豪宅定價標杆。","領導;市場",5,4,3,5,90,定稿,,"截圖D1"
20260605-006,滶蘊標售40伙套現23億 呎價近5.7萬,2026-06-05,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260605/HKET_20260605_D0/index.html#p=1,A,大圍,香港,建築與地產,建築與地產,"滶蘊;新世界;40伙;23億;5.7萬","滶蘊首日標售40伙套現23億，最高呎價近5.7萬。","一手豪宅去貨及定價參考。","領導;項目",5,5,4,5,96,定稿,,"信報同題互證"
20260605-007,首4月3573伙私樓落成 按年減半僅達標21%,2026-06-05,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260605/HKET_20260605_D0/index.html#p=1,A,全港,香港,建築與地產,建築與地產,"落成量;3573;按年減半;21%","首4月私樓落成約3573伙，按年減半，僅達全年預測21%。","供應節奏影響租售市場。","領導;項目",5,4,4,5,92,定稿,,"截圖D1"
20260605-008,樂風ONE BEDFORD PLACE銀主盤7.2億 擬改裝學生宿舍,2026-06-05,HKET 電子報,A0,https://paper.hket.com/web-flip/HKET/20260605/HKET_20260605_A0/index.html#p=4,A,大角咀,香港,建築與地產,建築與地產,"學生宿舍;銀主盤;7.2億;新加坡基金;商廈改建","大角咀樂風全幢銀主盤7.2億售出，新加坡基金擬改學生宿舍。","宿位短缺推動改建投資線索。","領導;拓展",5,5,5,5,98,定稿,,"A4樓市專題"
20260605-009,元朗南二期申寬高限 規劃署不反對料獲批,2026-06-05,信報 網上版,D0,https://www.hkej.com/dailynews/property,A,元朗南,香港,北都產業規劃,北都專題,"元朗南;北都;寬高限;規劃署","元朗南二期申放寬高度限制，規劃署不反對料獲批。","北都西側土地規劃推進。","領導;項目",5,5,4,5,96,定稿,,"地產市道6月5日"
20260605-C01,上月4新盤1356戶獲批預售 半年最多,2026-06-05,HKET 電子報,A0,https://paper.hket.com/web-flip/HKET/20260605/HKET_20260605_A0/index.html#p=4,A,全港,香港,建築與地產,,預售;1356戶;地政署;維港滙,"地政總署上月批4盤1356戶預售，半年最多。","一手供應批出節奏。","項目",4,4,3,5,86,候選,,未納入定稿
20260605-C02,紀惠8800萬沽中環舖 星資接手,2026-06-05,信報 網上版,D0,https://www.hkej.com/dailynews/property,A,中環,香港,建築與地產,,紀惠;8800萬;太興;星資,"紀惠8800萬售中環太興舖，買家為新加坡投資者。","核心舖位及外資佈局。","拓展",4,4,3,5,86,候選,,未納入定稿
20260605-C03,珀麗灣兩房1.7萬租出 回報8.1厘,2026-06-05,信報 網上版,D0,https://www.hkej.com/property,A,珀麗灣,香港,建築與地產,,珀麗灣;月租1.7萬;回報8.1厘,"珀麗灣兩房月租約1.7萬，回報約8.1厘。","離島租賃回報參考。","市場",3,4,3,5,82,候選,,未納入定稿
20260605-C04,YOHO Midtown第2A期申酒店轉商廈,2026-06-05,HKET 網上版,D0,https://www.hket.com/property,A,元朗,香港,北都產業規劃,,YOHO Midtown;酒店改商廈;元朗,"元朗YOHO Midtown第2A期申酒店轉商廈混合用途。","北都西翼改建線索。","項目",4,4,4,4,84,候選,,即時樓市列表未納入正式D0截圖
20260605-C05,陳茂波出席瑞典國慶酒會,2026-06-05,文匯報 網上版,A0,https://www.wenweipo.com/business,A,全港,香港,金融與經濟,,陳茂波;瑞典;經貿;大灣區,"陳茂波出席瑞典國慶酒會，指港瑞經貿增長及大灣區機遇。","外交經貿背景。","領導",3,3,3,5,76,候選,,未納入定稿
20260605-C06,盤房來料丨內地對外投資新規下港股暫難有起色,2026-06-05,信報 網上版,A0,https://stock360.hkej.com/quotePlus,A,全港,香港,金融與經濟,,對外投資;監管;港股,"評論指內地對外投資新規下港股短期難強勢。","監管對市場情緒影響。","領導",4,4,3,4,82,候選,,與002同背景
20260605-C07,5月工廈錄455宗成交 1年最多,2026-06-05,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260605/HKET_20260605_D0/index.html#p=3,A,全港,香港,建築與地產,,工廈;455宗;工商,"5月工廈成交455宗，為一年最多。","工商物業交投活躍度。","拓展",3,4,3,5,80,候選,,截圖D3側欄
