news_id,title,publish_date,source_name,source_section,source_url,source_credibility,region,country,sector,digest_section,topic_tags,summary,business_implication,recommended_audience,importance_score,relevance_score,actionability_score,credibility_score,total_score,human_status,reviewer,review_notes
20260603-001,騰訊升約一成 微信傳推AI助理,2026-06-03,HKET 電子報,A0,https://paper.hket.com/web-flip/HKET/20260603/HKET_20260603_A0/index.html#p=2,A,全港,香港,金融與經濟,金融與經濟,"科技;港股;騰訊;微信;AI","報道指騰訊股價明顯上揚，市場關注微信擬推AI助理及戰略優先級提升，帶動港股氣氛，恒指升逾600點。","反映科網及風險偏好回升，對宏觀金融環境有參考價值；細節待核對article全文。","領導;部門",4,3,3,5,84,待審核,,
20260603-002,4月零售銷貨值314億 升8.6%遜預期,2026-06-03,HKET 電子報,A0,https://paper.hket.com/web-flip/HKET/20260603/HKET_20260603_A0/index.html#p=3,A,全港,香港,金融與經濟,金融與經濟,"零售;經濟數據;消費;314億;8.6%","4月零售銷貨值臨時估計314億元，按年升8.6%，但遜於市場預期。","本地消費復蘇節奏影響經濟及樓市氣氛判斷；預期基準需查證。","領導",4,3,3,5,84,待審核,,
20260603-003,軟件股大反轉 跳升剛剛開始,2026-06-03,HKET 報章,A0,https://paper.hket.com/article/4140427,A,全港,香港,金融與經濟,金融與經濟,"軟件股;AI;美股;科技板塊","美股軟件股反彈，市場由「AI吞噬軟件」轉向「AI不會吞噬軟件」敘事，評論指反彈或僅屬開始。","科技情緒修復或影響港股科技估值，間接影響資金風險偏好。","領導;部門",3,3,3,5,78,待審核,,
20260603-004,不吃不渴14.1年才能置業 港樓價連續16年全球最難負擔,2026-06-03,HKET 電子報,A0,https://paper.hket.com/web-flip/HKET/20260603/HKET_20260603_A0/index.html#p=3,A,全港,香港,建築與地產,建築與地產,"樓價;置業負擔;Demographia;14.1倍","Demographia報告指香港樓價收入比率14.1倍，連續16年全球最難負擔，較高峰23.2倍回落。","置業門檻仍高，關聯租金、學生宿舍及改建投資判斷。","領導;項目;拓展",5,5,4,5,98,待審核,,
20260603-005,恒地李家誠：今年樓價升料10% 數月前已加快推盤,2026-06-03,HKET 電子報,A0,https://paper.hket.com/web-flip/HKET/20260603/HKET_20260603_A0/index.html#p=6,A,全港,香港,建築與地產,建築與地產,"恒地;樓價;一手;迎林;學生宿舍","李家誠指加快推盤，預期全年樓價升5%至10%；迎林學生宿舍租約完結後料下半年推售。","反映發展商對後市看法及學生宿舍資產再定位。","領導;項目",4,4,4,5,90,待審核,,
20260603-006,5月樓宇買賣登記8559宗 微跌2%,2026-06-03,HKET 報章,D0,https://paper.hket.com/article/4140421,A,全港,香港,建築與地產,建築與地產,"樓宇登記;成交;二手;一手","5月錄8559宗登記，按月微跌2%，連續兩月逾8000宗；二手登記總值創48個月新高。","樓市流動性仍強，支持短期市場判斷。","領導;項目",4,4,4,5,90,待審核,,
20260603-007,租務旺季 十大屋苑價量齊升,2026-06-03,HKET 報章,D0,https://paper.hket.com/article/4140418,A,全港,香港,建築與地產,建築與地產,"租務;內地生;租金;十大屋苑","5月十大屋苑292宗租務成交，升4%；內地生推升多區租金新高。","學生宿舍及租賃市場需求線索，具拓展參考價值。","領導;項目;拓展",4,5,4,5,94,待審核,,
20260603-008,天水圍站一帶拓商業 洪天路建86萬呎,2026-06-03,HKET 報章,D0,https://paper.hket.com/article/4140384,A,洪水橋,香港,北都產業規劃,北都專題,"北都;洪水橋;天水圍;商業;新地","天水圍站周邊為地區商業中心；新地洪天路項目約85.6萬呎商業樓面，毗鄰多個商住項目。","北都西側產城及商業供應持續增加，影響片區投資布局。","領導;項目",5,5,4,5,98,待審核,,
20260603-009,元朗東頭轉型 麗新元朗中心將建商住,2026-06-03,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260603/HKET_20260603_D0/index.html#p=2,A,元朗,香港,建築與地產,建築與地產,"工廈活化;元朗;麗新;1108伙;52.6萬呎","麗新元朗中心擬建兩幢27-29層商住、1,108伙，總樓面約52.6萬呎；同區朗壹廣場等項目並進。","新界西北住宅及商業供應增加，工廈活化標杆案例。","領導;項目;拓展",5,5,4,5,98,待審核,,
20260603-010,紀惠集團3.86億沽摩利臣山道全幢酒店 持貨13年蝕42%,2026-06-03,HKET 網新+市場消息,綜合,https://news.hket.com/article/4073817,B,灣仔/銅鑼灣,香港,建築與地產,建築與地產,"全幢酒店;紀惠;BeLIVING;Dash Living;3.86億","摩利臣山道39號全幢酒店約3.86億元易手，較2013年購入價蝕42%；買家傳Dash Living。","核心區酒店重估及青年宿舍/共居資產再定位參考。","領導;項目",4,5,4,4,88,待審核,,成交價及買家需查證
