news_id,title,publish_date,source_name,source_section,source_url,source_credibility,region,country,sector,digest_section,topic_tags,summary,business_implication,recommended_audience,importance_score,relevance_score,actionability_score,credibility_score,total_score,human_status,reviewer,review_notes
20260610-001,內地5月出口按年增19.4% 勝預期,2026-06-10,香港經濟日報,要聞,https://paper.hket.com/article/4144074,A,內地,中國,金融與經濟,金融與經濟,"出口;19.4%;貿易順差;AI;海關總署","5月美元計出口升19.4%、進口增27.4%，順差1054億美元；AI支撐外需。","內地經濟及貿易動能影響在港業務與投資判斷。","領導;部門",4,3,3,5,71,待審核,,6/10 HKET要聞
20260610-002,公務員劃一加薪2% 工會仍不滿,2026-06-10,信報,要聞,https://www.hkej.com/dailynews/headline/article/4427485,A,全港,香港,政策,金融與經濟,"公務員;加薪2%;工會;薪酬;楊何蓓茵","行政會建議劃一加薪2%追溯4月1日；工會不滿加幅。","勞動市場及公共部門薪酬參考。","領導",4,3,3,5,71,待審核,,6/10信報要聞
20260610-003,金管挺整頓跨境炒股 不強刪賬戶,2026-06-10,信報,要聞,https://www.hkej.com/dailynews/headline/article/4427491,A,全港,香港,金融與經濟,金融與經濟,"金管局;跨境炒股;中證監;KYC;證監會","余偉文指整治針對非法活動，戶口不強刪；證監准續開戶。","跨境金融合規及在港券商銀行業務節點。","領導;部門",5,4,4,5,89,待審核,,6/10信報要聞
20260610-004,河套創科園4地皮招標 採雙信封制,2026-06-10,香港經濟日報,要聞,https://paper.hket.com/article/4144097,A,新田/河套,香港,建築與地產,建築與地產,"河套;港深創科園;雙信封;招標;人才公寓","首批4幅地皮首次招標，8月31日截標，技術建議佔70%。","河套園區土地供應及產業落地節奏。","領導;項目;拓展",5,5,5,5,100,待審核,,圖片指定/6/10 HKET要聞
20260610-005,原綠景持有流浮山地放售 叫價5.5億,2026-06-10,明報,經濟,https://news.mingpao.com/pns/經濟/article/20260610/s00004/1781024789757,A,北都,香港,建築與地產,建築與地產,"綠景;流浮山;銀主盤;5.5億;深灣路","銀主放售流浮山72.6萬呎地皮叫價5.5億，較2015年購價貶23%。","北都流浮山土地交易及換地潛力線索。","領導;項目;拓展",4,5,4,5,89,待審核,,圖片指定/6/10明報經濟
20260610-006,新世界申強拍黃大仙崇華街舊樓 估值逾3.32億,2026-06-10,星島日報,市場報道,http://www.sskyn.com/thread-61521-1-1.html,B,九龍東/九龍城,香港,建築與地產,建築與地產,"新世界;黃大仙;強拍;崇華街;3.32億","財團就崇華街5幢舊樓申強拍，持有逾94%業權，傳為新世界。","九龍舊樓改建及新世界項目動態。","領導;項目;拓展",4,4,4,4,80,待審核,,圖片指定；6/10指定版面缺稿，採星島市場報道
20260610-007,香港仔南寓酒店獲9.5億洽購 料改建學生宿舍,2026-06-02,香港經濟日報,地產站,https://ps.hket.com/article/4137408,A,全港,香港,酒店/商廈改學生宿舍,建築與地產,"南寓酒店;9.5億;招商局;學生宿舍;488間","裕泰興旗下南寓酒店傳9.5億洽購，買方或為招商局改裝宿舍。","酒店改宿舍趨勢及HKU周邊住宿供應參考。","領導;項目;拓展",4,5,5,5,93,待審核,,圖片指定；HKET地產站6/2稿
20260610-008,彭博：銀行擬接管世茂東涌兩酒店,2026-06-06,明報,經濟,https://news.mingpao.com/pns/經濟/article/20260606/s00004/1780677008066,A,全港,香港,建築與地產,建築與地產,"世茂;東涌;喜來登;銀行接管;45億貸款","銀行擬因世茂拖欠45億貸款接管東涌兩酒店，逾1200間客房。","商業地產及酒店不良資產風險。","領導;拓展",4,4,4,5,82,待審核,,圖片指定；6/10明報經濟無更新，採6/6稿
20260610-009,流浮山數碼科技樞紐 樓面擴1.4倍至969萬呎,2026-06-10,香港經濟日報,要聞,https://paper.hket.com/article/4144096,A,北都,香港,北都產業規劃,北都專題,"流浮山;數碼科技樞紐;969萬呎;北都;250米","樞紐擴至30公頃、樓面969萬呎，住宅近4.9萬伙。","北都產業及住宅供應規劃重大調整。","領導;項目",5,5,4,5,96,待審核,,6/10 HKET要聞/北都專題
20260610-010,綠景流浮山銀主地索價5.5億,2026-06-10,信報,地產,https://www.hkej.com/dailynews/property/article/4427527,A,北都,香港,建築與地產,建築與地產,"綠景;流浮山;銀主;5.5億;換地","信報地產版同題報道，銀主放售深灣路地皮。","與明報稿互參；北都土地線索。","項目;拓展",4,5,4,5,89,待審核,,候選去重保留；未納入簡訊正文
20260610-011,河套港園區四地皮招標,2026-06-10,信報,要聞,https://www.hkej.com/dailynews/headline/article/4427492,A,新田/河套,香港,建築與地產,建築與地產,"河套;招標;雙信封;港深創科園","信報要聞同題摘要稿。","河套招標背景參考。","項目",5,5,4,5,96,待審核,,候選去重；正文採HKET詳稿
